Fecha,Ciudad,Nombre,Precio Real,Precio Actual,Promocion,url,ean,Unidad de Medida,Cantidad,Marca,Compañia,Categoria,Descripcion
23-01,Bogotá,Yox con Mentalis Multisabor x4 Und Botella 100 g,8900,8900,FALSE,https://alpina.com/yox-con-mentalis-multisabor-x4-und-botella-100-g,7702001162710,Gramo,"18,7",Yox,Alpina,Mentalis multisabor,"Es un alimento lacteo fermentado excelente fuente de en vitamina B5 que contribuye con el rendimiento mental y cognitivo. Adicionalmente, tiene Colina, vitamina B12 y el probiótico Lactobacillus brevis generador del neurotransmisor GABA."
23-01,Bogotá,Queso Mozarella Alpina Tajado Paga 20 y Lleva 25 Tajadas 400 g,11840,11840,FALSE,https://alpina.com/queso-mozarella-alpina-tajado-paga-20-y-lleva-25-tajadas-400-g,7702001133734,Gramo,"29,60",Queso mozarella,Alpina,Cocinemos Juntos,"Los quesos Alpina son buena fuente de proteína, Las proteínas son nutrientes esenciales que contribuyen al mantenimiento y restauración de tejidos corporales. Aporta naturalmente calcio."
23-01,Bogotá,Avena Finesse Botella x4 Und 280 ml ,16501,16501,FALSE,https://alpina.com/avena-finesse-botella-x4-und-280-ml,7702001158768,Mililitro,"12,4",Finesse,Alpina,Avena Finesse,Finesse llega como un aliado para demostrar que no hay que renunciar para sentirse completas y que pueden elegir sin sacrificios. Es una marca que se enfoca en el cuidado de la figura para ser complementado con una alimentación balanceada y ejercicio físico
23-01,Bogotá,Yox Con Mentalis Manzana Verde Botella 100 gr ,2200,2200,FALSE,https://alpina.com/yox-con-mentalis-manzana-verde-botella-100-gr,7702001162543,Gramo,22,Yox,Alpina,Mentalis manzana verde,"Es un alimento lacteo fermentado excelente fuente de en vitamina B5 que contribuye con el rendimiento mental y cognitivo. Adicionalmente, tiene Colina, vitamina B12 y el probiótico Lactobacillus brevis generador del neurotransmisor GABA."
23-01,Bogotá,Gelatina Finesse Uva Verde 108 g ,1900,1900,FALSE,https://alpina.com/gelatina-finesse-uva-verde-108-g,7702001147274,Gramo,"14,8",Finesse,Alpina,Postres,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para tu bienestar."
23-01,Bogotá,Gelatina Finesse Uva Verde x3 Und 108 g,5500,5500,FALSE,https://alpina.com/gelatina-finesse-uva-verde-x3-und-108-g,7702001147311,Gramo,"14,3",Finesse,Alpina,Postres,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para tu salud y bienestar."
23-01,Bogotá,Yogo Yogo Cuchareable Fresa 100 g,1399,1399,FALSE,https://alpina.com/yogo-yogo-cuchareable-fresa-100-g,7702001158607,Gramo,"11,8",Yogo Yogo,Alpina,Yogo Yogo,
23-01,Bogotá,Promoción Queso Finesse 45x35 Tajadas 675 g,23568,23568,FALSE,https://alpina.com/promocion-queso-finesse-45x35-tajadas-675-g,7702001159994,Gramo,"34,92",Finesse,Alpina,Quesos,"Queso Finesse es un queso fresco de pasta hilada, semiduro y semigraso. Es el complemento ideal para una alimentación balanceada y tus recetas deliciosas. Una porción de 30g aporta 70 calorías. Aporta el 25% del valor diario recomendado de calcio por porción. Aprovecha la promoción pague 35 lleve 45 tajadas."
23-01,Bogotá,Yogo Yogo Fresh Bisabor x4 Und Botella 185 g,7399,7399,FALSE,https://alpina.com/yogo-yogo-fresh-bisabor-x4-und-botella-185-g,7702001156962,Gramo,"8,4",Yogo Yogo,Alpina,Yogo Yogo,
23-01,Bogotá,Yox Con Mentalis Frutos Rojos Botella 100 gr ,2200,2200,FALSE,https://alpina.com/yox-con-mentalis-frutos-rojos-botella-100-gr,7702001162550,Gramo,22,Yox,Alpina,Mentalis frutos rojos,
23-01,Bogotá,Avena Finesse Botella 280 ml,4299,4299,FALSE,https://alpina.com/avena-finesse-botella-280-ml,7702001158645,Mililitro,"12,9",Finesse,Alpina,Avena Finesse,Finesse llega como un aliado para demostrar que no hay que renunciar para sentirse completas y que pueden elegir sin sacrificios. Es una marca que se enfoca en el cuidado de la figura para ser complementado con una alimentación balanceada y ejercicio físico
23-01,Bogotá,Yogurt Griego Natural sin azúcar 1000 g,32000,32000,FALSE,https://alpina.com/yogurt-griego-natural-sin-azucar-1000-g,7702001162444,Gramo,"26,9",Yogurt Griego,Alpina,,
23-01,Bogotá,Yogurt Griego Cama de Fruta Fresa 150 g,5300,5300,FALSE,https://alpina.com/yogurt-griego-cama-de-fruta-fresa-150-g,7702001163939,,"29,7",Yogurt Griego,Alpina,,"Yogurt Griego Alpina es una excelente fuente de proteina, importante en la formación y conservación de la masa muscular, además, aporta calcio que contribuye con el mantenimiento de huesos y dientes. Pruebalo con cama de fresas o mora-arandanos con ingredientes naturales, sin colorantes ni conservantes. "
